Pergunta,Resposta
Quais são as etapas para se candidatar a empregos no Porto do Itaqui?,"A EMAP possui um sistema eletrônico para cadastro de fornecedores, o Sigel – Sistema de Gerenciamento de Licitações, que permite o registro prévio e gratuito de qualquer pessoa natural ou jurídica que tenha interesse em participar de licitações da Empresa Maranhense de Administração Portuária (EMAP). Saiba aqui como funciona e como se cadastrar: https://www.portodoitaqui.ma.gov.br/emap/cadastro-de-fornecedores"
Existe um portal de recrutamento ou um site específico onde as vagas de emprego no Porto do Itaqui são anunciadas?,"A EMAP possui um sistema eletrônico para cadastro de fornecedores, o Sigel – Sistema de Gerenciamento de Licitações, que permite o registro prévio e gratuito de qualquer pessoa natural ou jurídica que tenha interesse em participar de licitações da Empresa Maranhense de Administração Portuária (EMAP). Saiba aqui como funciona e como se cadastrar: https://www.portodoitaqui.ma.gov.br/emap/cadastro-de-fornecedores"
Quais são os requisitos e qualificações necessárias para se candidatar a empregos no Porto do Itaqui?,"A EMAP possui um sistema eletrônico para cadastro de fornecedores, o Sigel – Sistema de Gerenciamento de Licitações, que permite o registro prévio e gratuito de qualquer pessoa natural ou jurídica que tenha interesse em participar de licitações da Empresa Maranhense de Administração Portuária (EMAP). Saiba aqui como funciona e como se cadastrar: https://www.portodoitaqui.ma.gov.br/emap/cadastro-de-fornecedores"
Há alguma informação sobre os benefícios e vantagens de trabalhar no Porto do Itaqui?,"A EMAP possui um sistema eletrônico para cadastro de fornecedores, o Sigel – Sistema de Gerenciamento de Licitações, que permite o registro prévio e gratuito de qualquer pessoa natural ou jurídica que tenha interesse em participar de licitações da Empresa Maranhense de Administração Portuária (EMAP). Saiba aqui como funciona e como se cadastrar: https://www.portodoitaqui.ma.gov.br/emap/cadastro-de-fornecedores"
Como é o processo de seleção e entrevista para empregos no Porto do Itaqui?,"A EMAP possui um sistema eletrônico para cadastro de fornecedores, o Sigel – Sistema de Gerenciamento de Licitações, que permite o registro prévio e gratuito de qualquer pessoa natural ou jurídica que tenha interesse em participar de licitações da Empresa Maranhense de Administração Portuária (EMAP). Saiba aqui como funciona e como se cadastrar: https://www.portodoitaqui.ma.gov.br/emap/cadastro-de-fornecedores"
Existem oportunidades de emprego específicas para pessoas com formação em determinadas áreas?,"A EMAP possui um sistema eletrônico para cadastro de fornecedores, o Sigel – Sistema de Gerenciamento de Licitações, que permite o registro prévio e gratuito de qualquer pessoa natural ou jurídica que tenha interesse em participar de licitações da Empresa Maranhense de Administração Portuária (EMAP). Saiba aqui como funciona e como se cadastrar: https://www.portodoitaqui.ma.gov.br/emap/cadastro-de-fornecedores"
O Porto do Itaqui oferece programas de treinamento ou desenvolvimento profissional para seus funcionários?,"A EMAP possui um sistema eletrônico para cadastro de fornecedores, o Sigel – Sistema de Gerenciamento de Licitações, que permite o registro prévio e gratuito de qualquer pessoa natural ou jurídica que tenha interesse em participar de licitações da Empresa Maranhense de Administração Portuária (EMAP). Saiba aqui como funciona e como se cadastrar: https://www.portodoitaqui.ma.gov.br/emap/cadastro-de-fornecedores"
Quais são as políticas de igualdade de oportunidades de emprego no Porto do Itaqui?,"A EMAP possui um sistema eletrônico para cadastro de fornecedores, o Sigel – Sistema de Gerenciamento de Licitações, que permite o registro prévio e gratuito de qualquer pessoa natural ou jurídica que tenha interesse em participar de licitações da Empresa Maranhense de Administração Portuária (EMAP). Saiba aqui como funciona e como se cadastrar: https://www.portodoitaqui.ma.gov.br/emap/cadastro-de-fornecedores"
O Porto do Itaqui oferece empregos temporários ou sazonais em determinados momentos do ano?,"A EMAP possui um sistema eletrônico para cadastro de fornecedores, o Sigel – Sistema de Gerenciamento de Licitações, que permite o registro prévio e gratuito de qualquer pessoa natural ou jurídica que tenha interesse em participar de licitações da Empresa Maranhense de Administração Portuária (EMAP). Saiba aqui como funciona e como se cadastrar: https://www.portodoitaqui.ma.gov.br/emap/cadastro-de-fornecedores"
Onde posso encontrar informações atualizadas sobre vagas de emprego no Porto do Itaqui?,"A EMAP possui um sistema eletrônico para cadastro de fornecedores, o Sigel – Sistema de Gerenciamento de Licitações, que permite o registro prévio e gratuito de qualquer pessoa natural ou jurídica que tenha interesse em participar de licitações da Empresa Maranhense de Administração Portuária (EMAP). Saiba aqui como funciona e como se cadastrar: https://www.portodoitaqui.ma.gov.br/emap/cadastro-de-fornecedores"
Onde posso encontrar informações sobre licitações e contratos atualmente em andamento na EMAP?,"Os editais de licitações e seus anexos estão disponíveis em http://www.portodoitaqui.com/transparencia/licitacoes ou podem ser obtidos direta e gratuitamente na Comissão Setorial de Licitação, sede da EMAP, mediante apresentação de dispositivo eletrônico de armazenagem de dados (CD-ROM, pen drive ou HD Externo)."
Existe um portal online ou site oficial da EMAP que lista todas as licitações em aberto?,"Os editais de licitações e seus anexos estão disponíveis em http://www.portodoitaqui.com/transparencia/licitacoes ou podem ser obtidos direta e gratuitamente na Comissão Setorial de Licitação, sede da EMAP, mediante apresentação de dispositivo eletrônico de armazenagem de dados (CD-ROM, pen drive ou HD Externo)."
Quais são os procedimentos para se cadastrar para receber notificações sobre licitações da EMAP?,"Os editais de licitações e seus anexos estão disponíveis em http://www.portodoitaqui.com/transparencia/licitacoes ou podem ser obtidos direta e gratuitamente na Comissão Setorial de Licitação, sede da EMAP, mediante apresentação de dispositivo eletrônico de armazenagem de dados (CD-ROM, pen drive ou HD Externo)."
Como posso acessar os documentos e especificações das licitações em andamento?,"Os editais de licitações e seus anexos estão disponíveis em http://www.portodoitaqui.com/transparencia/licitacoes ou podem ser obtidos direta e gratuitamente na Comissão Setorial de Licitação, sede da EMAP, mediante apresentação de dispositivo eletrônico de armazenagem de dados (CD-ROM, pen drive ou HD Externo)."
Qual é o processo para participar de uma licitação da EMAP como fornecedor?,"Os editais de licitações e seus anexos estão disponíveis em http://www.portodoitaqui.com/transparencia/licitacoes ou podem ser obtidos direta e gratuitamente na Comissão Setorial de Licitação, sede da EMAP, mediante apresentação de dispositivo eletrônico de armazenagem de dados (CD-ROM, pen drive ou HD Externo)."
Quais são os critérios de seleção usados pela EMAP para escolher fornecedores em licitações?,"Os editais de licitações e seus anexos estão disponíveis em http://www.portodoitaqui.com/transparencia/licitacoes ou podem ser obtidos direta e gratuitamente na Comissão Setorial de Licitação, sede da EMAP, mediante apresentação de dispositivo eletrônico de armazenagem de dados (CD-ROM, pen drive ou HD Externo)."
Onde posso encontrar informações sobre os contratos já firmados pela EMAP?,"Os editais de licitações e seus anexos estão disponíveis em http://www.portodoitaqui.com/transparencia/licitacoes ou podem ser obtidos direta e gratuitamente na Comissão Setorial de Licitação, sede da EMAP, mediante apresentação de dispositivo eletrônico de armazenagem de dados (CD-ROM, pen drive ou HD Externo)."
Qual é o procedimento para solicitar acesso a documentos relacionados a contratos da EMAP?,"Os editais de licitações e seus anexos estão disponíveis em http://www.portodoitaqui.com/transparencia/licitacoes ou podem ser obtidos direta e gratuitamente na Comissão Setorial de Licitação, sede da EMAP, mediante apresentação de dispositivo eletrônico de armazenagem de dados (CD-ROM, pen drive ou HD Externo)."
A EMAP oferece treinamento ou recursos para empresas interessadas em participar de licitações?,"Os editais de licitações e seus anexos estão disponíveis em http://www.portodoitaqui.com/transparencia/licitacoes ou podem ser obtidos direta e gratuitamente na Comissão Setorial de Licitação, sede da EMAP, mediante apresentação de dispositivo eletrônico de armazenagem de dados (CD-ROM, pen drive ou HD Externo)."
Como posso entrar em contato com o departamento responsável por licitações e contratos na EMAP?,"Os editais de licitações e seus anexos estão disponíveis em http://www.portodoitaqui.com/transparencia/licitacoes ou podem ser obtidos direta e gratuitamente na Comissão Setorial de Licitação, sede da EMAP, mediante apresentação de dispositivo eletrônico de armazenagem de dados (CD-ROM, pen drive ou HD Externo)."
Quais são os procedimentos para solicitar o arrendamento de uma área ou instalação portuária no Porto do Itaqui?,"O arrendamento de áreas e instalações portuárias operacionais (Terminais Portuários) e Não Operacionais (Restaurantes, Contêineres, Salas Comerciais, entre outras) ocorre mediante chamada pública regida pela Lei n° 8.666/1993, Lei n° 12.815/2013 e Resolução n° 2240/ANTAQ. Para acompanhar os procedimentos licitatórios voltados a áreas operacionais acesse www.portosdobrasil.gov.br e www.antaq.gov.br. Para áreas não operacionais, busque informação em www.portodoitaqui.ma.gov.br/porto-do-itaqui/valores-minimos-para-arrendamentos ou envie e-mail para a Gerência de Arrendamento e Contratos – GEACO (geaco@emap.ma.gov.br). Os editais das licitações de cessão de uso onerosa são divulgados no endereço: www.portodoitaqui.com/transparencia/licitacoes"
Existe um portal online ou site oficial do Porto do Itaqui onde posso encontrar informações sobre o processo de arrendamento?,"O arrendamento de áreas e instalações portuárias operacionais (Terminais Portuários) e Não Operacionais (Restaurantes, Contêineres, Salas Comerciais, entre outras) ocorre mediante chamada pública regida pela Lei n° 8.666/1993, Lei n° 12.815/2013 e Resolução n° 2240/ANTAQ. Para acompanhar os procedimentos licitatórios voltados a áreas operacionais acesse www.portosdobrasil.gov.br e www.antaq.gov.br. Para áreas não operacionais, busque informação em www.portodoitaqui.ma.gov.br/porto-do-itaqui/valores-minimos-para-arrendamentos ou envie e-mail para a Gerência de Arrendamento e Contratos – GEACO (geaco@emap.ma.gov.br). Os editais das licitações de cessão de uso onerosa são divulgados no endereço: www.portodoitaqui.com/transparencia/licitacoes"
Quais são os critérios e requisitos necessários para se qualificar para o arrendamento no Porto do Itaqui?,"O arrendamento de áreas e instalações portuárias operacionais (Terminais Portuários) e Não Operacionais (Restaurantes, Contêineres, Salas Comerciais, entre outras) ocorre mediante chamada pública regida pela Lei n° 8.666/1993, Lei n° 12.815/2013 e Resolução n° 2240/ANTAQ. Para acompanhar os procedimentos licitatórios voltados a áreas operacionais acesse www.portosdobrasil.gov.br e www.antaq.gov.br. Para áreas não operacionais, busque informação em www.portodoitaqui.ma.gov.br/porto-do-itaqui/valores-minimos-para-arrendamentos ou envie e-mail para a Gerência de Arrendamento e Contratos – GEACO (geaco@emap.ma.gov.br). Os editais das licitações de cessão de uso onerosa são divulgados no endereço: www.portodoitaqui.com/transparencia/licitacoes"
Como posso saber quais áreas ou instalações portuárias estão atualmente disponíveis para arrendamento?,"O arrendamento de áreas e instalações portuárias operacionais (Terminais Portuários) e Não Operacionais (Restaurantes, Contêineres, Salas Comerciais, entre outras) ocorre mediante chamada pública regida pela Lei n° 8.666/1993, Lei n° 12.815/2013 e Resolução n° 2240/ANTAQ. Para acompanhar os procedimentos licitatórios voltados a áreas operacionais acesse www.portosdobrasil.gov.br e www.antaq.gov.br. Para áreas não operacionais, busque informação em www.portodoitaqui.ma.gov.br/porto-do-itaqui/valores-minimos-para-arrendamentos ou envie e-mail para a Gerência de Arrendamento e Contratos – GEACO (geaco@emap.ma.gov.br). Os editais das licitações de cessão de uso onerosa são divulgados no endereço: www.portodoitaqui.com/transparencia/licitacoes"
Qual é o processo de avaliação e aprovação de solicitações de arrendamento no Porto do Itaqui?,"O arrendamento de áreas e instalações portuárias operacionais (Terminais Portuários) e Não Operacionais (Restaurantes, Contêineres, Salas Comerciais, entre outras) ocorre mediante chamada pública regida pela Lei n° 8.666/1993, Lei n° 12.815/2013 e Resolução n° 2240/ANTAQ. Para acompanhar os procedimentos licitatórios voltados a áreas operacionais acesse www.portosdobrasil.gov.br e www.antaq.gov.br. Para áreas não operacionais, busque informação em www.portodoitaqui.ma.gov.br/porto-do-itaqui/valores-minimos-para-arrendamentos ou envie e-mail para a Gerência de Arrendamento e Contratos – GEACO (geaco@emap.ma.gov.br). Os editais das licitações de cessão de uso onerosa são divulgados no endereço: www.portodoitaqui.com/transparencia/licitacoes"
Há taxas ou custos associados ao processo de arrendamento de áreas ou instalações portuárias?,"O arrendamento de áreas e instalações portuárias operacionais (Terminais Portuários) e Não Operacionais (Restaurantes, Contêineres, Salas Comerciais, entre outras) ocorre mediante chamada pública regida pela Lei n° 8.666/1993, Lei n° 12.815/2013 e Resolução n° 2240/ANTAQ. Para acompanhar os procedimentos licitatórios voltados a áreas operacionais acesse www.portosdobrasil.gov.br e www.antaq.gov.br. Para áreas não operacionais, busque informação em www.portodoitaqui.ma.gov.br/porto-do-itaqui/valores-minimos-para-arrendamentos ou envie e-mail para a Gerência de Arrendamento e Contratos – GEACO (geaco@emap.ma.gov.br). Os editais das licitações de cessão de uso onerosa são divulgados no endereço: www.portodoitaqui.com/transparencia/licitacoes"
Quais são as políticas de contratação e os termos típicos dos contratos de arrendamento no Porto do Itaqui?,"O arrendamento de áreas e instalações portuárias operacionais (Terminais Portuários) e Não Operacionais (Restaurantes, Contêineres, Salas Comerciais, entre outras) ocorre mediante chamada pública regida pela Lei n° 8.666/1993, Lei n° 12.815/2013 e Resolução n° 2240/ANTAQ. Para acompanhar os procedimentos licitatórios voltados a áreas operacionais acesse www.portosdobrasil.gov.br e www.antaq.gov.br. Para áreas não operacionais, busque informação em www.portodoitaqui.ma.gov.br/porto-do-itaqui/valores-minimos-para-arrendamentos ou envie e-mail para a Gerência de Arrendamento e Contratos – GEACO (geaco@emap.ma.gov.br). Os editais das licitações de cessão de uso onerosa são divulgados no endereço: www.portodoitaqui.com/transparencia/licitacoes"
Quais tipos de atividades ou negócios são permitidos nas áreas ou instalações arrendadas?,"O arrendamento de áreas e instalações portuárias operacionais (Terminais Portuários) e Não Operacionais (Restaurantes, Contêineres, Salas Comerciais, entre outras) ocorre mediante chamada pública regida pela Lei n° 8.666/1993, Lei n° 12.815/2013 e Resolução n° 2240/ANTAQ. Para acompanhar os procedimentos licitatórios voltados a áreas operacionais acesse www.portosdobrasil.gov.br e www.antaq.gov.br. Para áreas não operacionais, busque informação em www.portodoitaqui.ma.gov.br/porto-do-itaqui/valores-minimos-para-arrendamentos ou envie e-mail para a Gerência de Arrendamento e Contratos – GEACO (geaco@emap.ma.gov.br). Os editais das licitações de cessão de uso onerosa são divulgados no endereço: www.portodoitaqui.com/transparencia/licitacoes"
Como posso entrar em contato com o departamento responsável por arrendamentos no Porto do Itaqui?,"O arrendamento de áreas e instalações portuárias operacionais (Terminais Portuários) e Não Operacionais (Restaurantes, Contêineres, Salas Comerciais, entre outras) ocorre mediante chamada pública regida pela Lei n° 8.666/1993, Lei n° 12.815/2013 e Resolução n° 2240/ANTAQ. Para acompanhar os procedimentos licitatórios voltados a áreas operacionais acesse www.portosdobrasil.gov.br e www.antaq.gov.br. Para áreas não operacionais, busque informação em www.portodoitaqui.ma.gov.br/porto-do-itaqui/valores-minimos-para-arrendamentos ou envie e-mail para a Gerência de Arrendamento e Contratos – GEACO (geaco@emap.ma.gov.br). Os editais das licitações de cessão de uso onerosa são divulgados no endereço: www.portodoitaqui.com/transparencia/licitacoes"
Onde posso encontrar informações atualizadas sobre oportunidades de arrendamento no Porto do Itaqui?,"O arrendamento de áreas e instalações portuárias operacionais (Terminais Portuários) e Não Operacionais (Restaurantes, Contêineres, Salas Comerciais, entre outras) ocorre mediante chamada pública regida pela Lei n° 8.666/1993, Lei n° 12.815/2013 e Resolução n° 2240/ANTAQ. Para acompanhar os procedimentos licitatórios voltados a áreas operacionais acesse www.portosdobrasil.gov.br e www.antaq.gov.br. Para áreas não operacionais, busque informação em www.portodoitaqui.ma.gov.br/porto-do-itaqui/valores-minimos-para-arrendamentos ou envie e-mail para a Gerência de Arrendamento e Contratos – GEACO (geaco@emap.ma.gov.br). Os editais das licitações de cessão de uso onerosa são divulgados no endereço: www.portodoitaqui.com/transparencia/licitacoes"
